name	logo_url	website	is_funder
NIHR	/assets/images/logos/supported-by-nihr-logo-rgb-col.png	https://leedsbrc.nihr.ac.uk/	True
University of Leeds	/assets/images/logos/university-of-leeds-logo.webp	https://leeds.ac.uk/	False
